t,COMP_A.vol,COMP_A.pres,COMP_B.vol,COMP_B.pres,R_AB.flow
0.0005,0.09975,100,0.05025,50,0.5
0.010500000000000006,0.09524319670553148,95.4476734399308,0.05475680329446854,54.55232656006923,0.4089534687986156
0.020500000000000015,0.09155705102459961,91.72429396424204,0.05844294897540041,58.27570603575799,0.33448587928484047
0.030500000000000024,0.08854212689917135,88.67891605976904,0.061457873100828654,61.32108394023096,0.2735783211953807
0.04050000000000003,0.08607619954065432,86.18808034409527,0.0639238004593457,63.81191965590475,0.22376160688190516
0.05050000000000004,0.0840593004465124,84.1508085318307,0.06594069955348762,65.84919146816931,0.18301617063661396
0.06050000000000005,0.08240966468498018,82.48450978280826,0.06759033531501984,67.51549021719177,0.14969019565616493
0.07050000000000005,0.08106041615111445,81.12163247587318,0.06893958384888557,68.87836752412683,0.12243264951746355
0.08050000000000006,0.07995685641472282,80.00692567143719,0.0700431435852772,69.99307432856283,0.10013851342874361
0.09050000000000007,0.07905424725027513,79.09519924270215,0.0709457527497249,70.90480075729786,0.08190398485404288
0.10050000000000008,0.0783159969527345,78.34949187144899,0.07168400304726552,71.65050812855104,0.06698983742897952
0.11050000000000008,0.07771217691269283,77.73957263908366,0.07228782308730719,72.26042736091635,0.054791452781673085
0.1205000000000001,0.07721830831288251,77.24071546755809,0.07278169168711751,72.75928453244192,0.04481430935116165
0.1305000000000001,0.07681436975883622,76.8326967260972,0.0731856302411638,73.16730327390282,0.03665393452194379
0.1405000000000001,0.07648398561311877,76.49897536678664,0.07351601438688125,73.50102463321338,0.02997950733573262
0.1505000000000001,0.07621376212826433,76.22602235178215,0.07378623787173569,73.77397764821788,0.02452044703564269
0.16050000000000011,0.07599274446530016,76.00277218717189,0.07400725553469986,73.99722781282814,0.020055443743437422
0.17050000000000012,0.07581197258543024,75.8201743287174,0.07418802741456978,74.17982567128261,0.016403486574347852
0.18050000000000013,0.07566411801076217,75.67082627349714,0.07433588198923785,74.32917372650289,0.013416525469942542
0.19050000000000014,0.07554318672838564,75.5486734630158,0.07445681327161438,74.45132653698423,0.010973469260315767
0.20050000000000015,0.07544427619355734,75.4487638318761,0.07455572380644268,74.55123616812392,0.008975276637521717
0.21050000000000016,0.07536337658091982,75.36704705143417,0.0746366234190802,74.63295294856586,0.0073409410286831185
0.22050000000000017,0.07529720822649469,75.30021032979262,0.07470279177350533,74.69978967020741,0.0060042065958521105
0.23050000000000018,0.07524308867036096,75.24554411147571,0.07475691132963906,74.7544558885243,0.004910882229514044
0.24050000000000019,0.07519882390993952,75.20083223226214,0.0748011760900605,74.79916776773787,0.004016644645242735
0.25050000000000017,0.07516261945529976,75.16426207606037,0.07483738054470027,74.83573792393966,0.0032852415212070696
0.2605000000000002,0.07513300758067795,75.13435109159389,0.07486699241932207,74.86564890840613,0.0026870218318775585
0.2705000000000002,0.07510878782298952,75.1098866898884,0.0748912121770105,74.89011331011163,0.0021977337977676825
0.2805000000000002,0.07508897831514924,75.08987708600934,0.07491102168485078,74.91012291399069,0.001797541720186473
0.2905000000000002,0.07507277598125628,75.07351109217807,0.07492722401874374,74.92648890782196,0.001470221843561035
0.3005000000000002,0.07505952397995995,75.06012523228279,0.07494047602004007,74.93987476771724,0.0012025046456554378
0.3105000000000002,0.07504868507616264,75.04917684460872,0.07495131492383739,74.95082315539129,0.0009835368921743283
0.32050000000000023,0.07503981986155087,75.04022208237461,0.07496018013844916,74.95977791762542,0.0008044416474919558
0.33050000000000024,0.07503256894101662,75.0328979202188,0.0749674310589834,74.96710207978121,0.0006579584043758757
0.34050000000000025,0.07502663836280771,75.0269074371795,0.07497336163719232,74.97309256282051,0.0005381487435899146
0.35050000000000026,0.07502178770174668,75.0220077795421,0.07497821229825334,74.97799222045792,0.0004401555908417265
0.36050000000000026,0.07501782031241291,75.0180003155686,0.07498217968758711,74.98199968443143,0.00036000631137170555
0.3705000000000003,0.07501457535715267,75.01472258298249,0.07498542464284735,74.98527741701753,0.00029445165964958164
0.3805000000000003,0.07501192128573311,75.01204170276073,0.07498807871426691,74.9879582972393,0.00024083405521423628
0.3905000000000003,0.07500975050230618,75.00984899222847,0.07499024949769384,74.99015100777156,0.00019697984456911398
0.4005000000000003,0.07500797500348129,75.00805555907202,0.07499202499651873,74.99194444092801,0.0001611111814401056
0.4105000000000003,0.07500652281067471,75.00658869765122,0.07499347718932531,74.99341130234879,0.00013177395302435002
0.4205000000000003,0.07500533505210351,75.00538894151869,0.07499466494789651,74.99461105848134,0.00010777883037349056
0.4305000000000003,0.07500436357612791,75.00440765265445,0.07499563642387211,74.99559234734556,0.00008815305308885968
0.44050000000000034,0.07500356899918774,75.0036050496846,0.07499643100081228,74.99639495031543,0.00007210099369160616
0.45050000000000034,0.07500291910919593,75.0029485951474,0.07499708089080409,74.99705140485261,0.000058971902947888566
0.46050000000000035,0.07500238755966296,75.00241167642723,0.07499761244033706,74.9975883235728,0.00004823352854430141
0.47050000000000036,0.07500195280161225,75.00197252688105,0.07499804719838778,74.99802747311897,0.00003945053762080875
0.48050000000000037,0.07500159720998642,75.00161334342062,0.0749984027900136,74.9983866565794,0.000032266868412165196
0.4905000000000004,0.07500130636912868,75.00131956477644,0.07499869363087135,74.99868043522358,0.000026391295528611635
0.5005000000000003,0.0750010684883734,75.00107928118526,0.07499893151162662,74.99892071881477,0.000021585623704822866
0.5104999999999992,0.07500087392405334,75.00088275156904,0.07499912607594668,74.99911724843099,0.000017655031380456877
0.5204999999999981,0.07500071478854616,75.00072200863248,0.07499928521145387,74.99927799136755,0.00001444017264930153
0.530499999999997,0.0750005846305108,75.00059053586949,0.07499941536948922,74.99940946413052,0.000011810717389693081
0.5404999999999959,0.07500047817335073,75.00048300338457,0.07499952182664929,74.99951699661544,0.000009660067691328323
0.5504999999999948,0.07500039110130094,75.00039505181913,0.07499960889869908,74.99960494818089,0.000007901036382378378
0.5604999999999937,0.07500031988446736,75.00032311562359,0.07499968011553267,74.99967688437644,0.000006462312471455789
0.5704999999999926,0.07500026163572507,75.00026427851017,0.07499973836427495,74.99973572148986,0.000005285570203170664
0.5804999999999915,0.07500021399367465,75.00021615522692,0.07499978600632537,74.9997838447731,0.000004323104538173084
0.5904999999999904,0.07500017502691111,75.00017679485971,0.07499982497308891,74.99982320514032,0.0000035358971939558616
0.6004999999999893,0.07500014315572488,75.0001446017423,0.07499985684427514,74.99985539825772,0.0000028920348458427725
0.6104999999999882,0.07500011708806054,75.00011827076821,0.07499988291193949,74.9998817292318,0.0000023654153640961794
0.6204999999999871,0.07500009576713702,75.00009673448184,0.074999904232863,74.99990326551818,0.0000019346896365846077
0.630499999999986,0.07500007832860577,75.0000791198038,0.07499992167139426,74.99992088019621,0.0000015823960758609702
0.6404999999999849,0.07500006406551006,75.00006471263643,0.07499993593448996,74.9999352873636,0.0000012942527283144045
0.6504999999999838,0.07500005239962514,75.00005292891427,0.07499994760037489,74.99994707108574,0.0000010585782852956526
0.6604999999999827,0.07500004285801695,75.00004329092621,0.07499995714198307,74.9999567090738,8.658185241472438e-7
0.6704999999999816,0.07500003505386942,75.0000354079489,0.0749999649461306,74.99996459205111,7.081589778579201e-7
0.6804999999999805,0.07500002867080299,75.00002896040706,0.07499997132919703,74.99997103959295,5.792081411470917e-7
0.6904999999999794,0.07500002345004869,75.00002368691787,0.07499997654995133,74.99997631308216,4.73738357129605e-7
0.7004999999999783,0.07500001917995754,75.00001937369449,0.07499998082004249,74.99998062630554,3.874738894182883e-7
0.7104999999999771,0.07500001568742033,75.00001584587912,0.07499998431257969,74.99998415412091,3.1691758209717593e-7
0.720499999999976,0.07500001283084991,75.00001296045446,0.07499998716915011,74.99998703954556,2.592090889663723e-7
0.730499999999975,0.07500001049444116,75.00001060044562,0.07499998950555886,74.99998939955441,2.120089121149249e-7
0.7404999999999738,0.07500000858347623,75.00000867017802,0.07499999141652379,74.99999132982201,1.7340356009754032e-7
0.7504999999999727,0.07500000702048477,75.00000709139876,0.07499999297951525,74.99999290860127,1.4182797485773336e-7
0.7604999999999716,0.0750000057421032,75.00000580010426,0.07499999425789682,74.99999419989577,1.1600208495110564e-7
0.7704999999999705,0.07500000469650603,75.00000474394548,0.074999995303494,74.99999525605453,9.487890949344546e-8
0.7804999999999694,0.07500000384130488,75.00000388010594,0.07499999615869514,74.99999611989408,7.760211857998911e-8
0.7904999999999683,0.07500000314182989,75.00000317356555,0.07499999685817013,74.99999682643447,6.347131076722689e-8
0.8004999999999672,0.07500000256972449,75.0000025956813,0.07499999743027554,74.99999740431873,5.19136256116326e-8
0.8104999999999661,0.07500000210179548,75.00000212302574,0.07499999789820454,74.99999787697428,4.246051460654598e-8
0.820499999999965,0.07500000171907309,75.00000173643747,0.07499999828092693,74.99999826356256,3.47287490853887e-8
0.8304999999999639,0.0750000014060418,75.00000142024425,0.07499999859395823,74.99999857975578,2.8404884631072492e-8
0.8404999999999628,0.07500000115001133,75.00000116162761,0.07499999884998869,74.9999988383724,2.3232552024410325e-8
0.8504999999999617,0.07500000094060225,75.00000095010328,0.07499999905939778,74.99999904989674,1.9002065414497338e-8
0.8604999999999606,0.0750000007693251,75.00000077709606,0.07499999923067492,74.99999922290395,1.5541921101203115e-8
0.8704999999999595,0.07500000062923634,75.00000063559226,0.07499999937076368,74.99999936440777,1.2711844874502277e-8
0.8804999999999584,0.07500000051465677,75.00000051985532,0.07499999948534325,74.9999994801447,1.039710625150292e-8
0.8904999999999573,0.07500000042094135,75.00000042519328,0.07499999957905867,74.99999957480674,8.503865416287226e-9
