t,BLOOD_A.vol,BLOOD_A.pres,BLOOD_A.to2,BLOOD_A.tco2,BLOOD_A.temp,BLOOD_B.vol,BLOOD_B.pres,BLOOD_B.to2,BLOOD_B.tco2,BLOOD_B.temp,R_AB.flow,TVE_ISOLATED.vol,TVE_ISOLATED.pres,TVE_ISOLATED.el_min_eff,TVE_ISOLATED.el_max_eff
0.0005,0.09975,100,8,20,37,0.05025,50,4.019900497512438,27.960199004975124,34.014925373134325,0.5,0.02,27.5,500,5000
0.010500000000000006,0.09524319670553148,95.4476734399308,8,20,37,0.05475680329446854,54.55232656006923,4.347485828848529,27.30502834230295,34.26061437163639,0.4089534687986156,0.02,27.5,500,5000
0.020500000000000015,0.09155705102459961,91.72429396424204,8,20,37,0.05844294897540041,58.27570603575799,4.57785920275544,26.84428159448913,34.43339440206656,0.33448587928484047,0.02,27.5,500,5000
0.030500000000000024,0.08854212689917135,88.67891605976904,8,20,37,0.061457873100828654,61.32108394023096,4.745738342231969,26.508523315536067,34.55930375667396,0.2735783211953807,0.02,27.5,500,5000
0.04050000000000003,0.08607619954065432,86.18808034409527,8,20,37,0.0639238004593457,63.81191965590475,4.871274884114625,26.257450231770754,34.65345616308594,0.22376160688190516,0.02,27.5,500,5000
0.05050000000000004,0.0840593004465124,84.1508085318307,8,20,37,0.06594069955348762,65.84919146816931,4.96697181931213,26.06605636137575,34.72522886448407,0.18301617063661396,0.02,27.5,500,5000
0.06050000000000005,0.08240966468498018,82.48450978280826,8,20,37,0.06759033531501984,67.51549021719177,5.0409970735038465,25.918005852992305,34.78074780512784,0.14969019565616493,0.02,27.5,500,5000
0.07050000000000005,0.08106041615111445,81.12163247587318,8,20,37,0.06893958384888557,68.87836752412683,5.098909090626411,25.802181818747165,34.824181817969766,0.12243264951746355,0.02,27.5,500,5000
0.08050000000000006,0.07995685641472282,80.00692567143719,8,20,37,0.0700431435852772,69.99307432856283,5.1446170208437145,25.71076595831255,34.85846276563274,0.10013851342874361,0.02,27.5,500,5000
0.09050000000000007,0.07905424725027513,79.09519924270215,8,20,37,0.0709457527497249,70.90480075729786,5.180944704251153,25.638110591497668,34.88570852818832,0.08190398485404288,0.02,27.5,500,5000
0.10050000000000008,0.0783159969527345,78.34949187144899,8,20,37,0.07168400304726552,71.65050812855104,5.209977240415432,25.580045519169108,34.907482930311524,0.06698983742897952,0.02,27.5,500,5000
0.11050000000000008,0.07771217691269283,77.73957263908366,8,20,37,0.07228782308730719,72.26042736091635,5.2332822948832485,25.533435410233473,34.92496172116238,0.054791452781673085,0.02,27.5,500,5000
0.1205000000000001,0.07721830831288251,77.24071546755809,8,20,37,0.07278169168711751,72.75928453244192,5.252056178361672,25.49588764327663,34.939042133771196,0.04481430935116165,0.02,27.5,500,5000
0.1305000000000001,0.07681436975883622,76.8326967260972,8,20,37,0.0731856302411638,73.16730327390282,5.2672230963789834,25.465553807242006,34.95041732228417,0.03665393452194379,0.02,27.5,500,5000
0.1405000000000001,0.07648398561311877,76.49897536678664,8,20,37,0.07351601438688125,73.50102463321338,5.279504313883348,25.440991372233277,34.959628235412424,0.02997950733573262,0.02,27.5,500,5000
0.1505000000000001,0.07621376212826433,76.22602235178215,8,20,37,0.07378623787173569,73.77397764821788,5.2894674431339785,25.42106511373201,34.96710058235039,0.02452044703564269,0.02,27.5,500,5000
